WP,Latitude(deg),Longitude(deg),Ellipsoidal Height(m)
1,35.69010481,140.02119201,52.07312653
2,35.69006959,140.02115995,52.01651243
3,35.68997837,140.02114859,52.04321942
10,35.68963674,140.02175603,51.88799529
11,35.68971553,140.02174599,52.02454642
12,35.68990931,140.02151249,51.96270505
13,35.68998468,140.02141770,51.96605622
14,35.69005931,140.02131915,51.94683237
15,35.69012819,140.02121561,51.96348143
16,35.68992038,140.02111172,52.00147119
17,35.68980869,140.02097702,52.05103130
18,35.68969220,140.02090602,51.71288608
7,35.68955736,140.02136821,51.70973293
8,35.68962345,140.02157936,51.79784645
9,35.68960373,140.02162943,51.78359924
1,35.69010481,140.02119201,52.07312653
